Region,Agriculture,Mining,Manufacturing,Power,Sewer,Construction,Vehicles,Transportation,Hotels,IT,Finance,Real Estate,Professional,Administrative,Pubic Sector,Education,Health,Entertainment,Membership Orgs,Other Goods,Overseas,Population
1,28,1,0,4,0,2,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,177
1,19,4,1,0,0,3,10,3,2,0,0,0,0,1,1,2,1,0,1,1,0,203
1,43,56,4,2,1,33,36,23,3,1,0,0,0,7,25,34,17,0,1,22,0,1254
1,13,16,5,6,0,15,23,15,5,2,0,0,0,3,36,31,19,0,1,7,0,569
1,29,52,7,1,1,15,39,21,6,0,1,0,1,5,33,20,18,0,3,9,0,935
1,24,44,5,0,2,19,30,19,7,1,2,0,1,4,16,22,10,0,6,3,0,723
1,17,24,1,0,0,10,3,2,6,0,0,0,0,1,5,2,0,0,3,4,0,337
1,108,112,4,0,0,16,16,10,2,0,0,0,1,1,6,25,1,0,2,0,0,1220
1,33,5,1,0,0,1,2,0,1,0,0,0,0,0,1,3,1,0,0,0,0,218
1,8,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,70
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
1,26,12,6,19,0,7,66,9,8,0,0,0,0,0,2,4,3,2,1,1,0,497
1,27,4,8,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,142
1,94,44,1,0,0,2,1,0,1,0,0,0,0,0,3,16,5,0,0,1,0,565
1,34,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,104
1,98,10,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,446
1,66,29,1,0,0,0,0,0,0,0,0,0,0,0,5,9,1,0,0,0,0,346
1,59,17,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,316
1,21,14,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,129
1,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,111
1,24,1,0,1,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,180
1,22,7,0,5,0,1,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,124
1,40,15,2,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,1,0,231
1,47,22,32,0,0,3,2,2,0,0,0,0,0,0,0,4,1,0,0,2,0,421
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,34,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,145
1,35,37,1,0,0,1,3,1,0,0,0,0,0,0,0,3,1,0,0,1,0,225
1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1,0,148,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
1,8,20,5,0,1,2,2,11,8,0,0,0,0,1,3,4,3,0,0,0,0,409
1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
1,1,318,1,0,0,0,18,0,0,0,0,0,0,1,0,0,0,1,0,9,0,423
1,2,78,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,196
1,70,181,8,0,1,40,43,33,11,3,0,0,0,2,9,8,4,0,0,14,0,1433
1,13,117,4,1,0,7,105,32,4,0,0,0,0,5,1,25,7,0,13,15,0,1152
1,34,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,106
1,7,17,0,0,0,6,4,11,1,0,0,0,0,1,2,1,0,0,0,0,0,149
1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,166
1,7,13,0,0,0,0,4,0,4,0,0,0,0,0,0,3,1,0,0,0,0,425
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,50,100,4,2,0,20,19,4,4,1,0,0,1,3,0,4,3,0,2,11,0,797
1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28
1,34,5,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,153
1,81,1,1,0,0,0,1,0,0,0,0,0,0,0,2,3,2,0,0,0,0,262
1,11,12,0,0,0,1,3,0,2,0,0,0,0,0,2,1,2,0,0,0,0,280
1,64,50,5,2,0,6,7,3,1,0,0,0,0,0,0,8,1,0,0,2,0,499
1,29,20,3,0,0,0,5,0,3,0,0,0,0,1,0,4,1,0,0,0,0,304
1,23,1,0,0,0,1,1,0,1,0,0,0,0,0,2,2,1,0,0,0,0,101
1,5,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1,86,102,0,0,0,1,6,0,2,0,0,0,0,0,1,4,1,0,1,3,0,635
1,61,37,1,0,0,0,7,2,1,0,0,0,0,0,0,4,3,0,0,0,0,890
1,8,105,0,0,0,7,9,0,0,0,0,0,0,0,0,26,6,1,0,0,0,717
1,27,56,3,0,0,7,12,4,1,2,0,0,0,2,5,8,2,0,0,1,0,487
1,8,24,1,0,0,5,15,6,6,0,0,0,0,0,7,28,9,0,2,1,0,426
1,54,98,12,0,0,10,12,6,2,0,0,0,0,4,7,5,6,0,0,14,0,1174
1,13,61,5,0,0,6,25,14,13,1,0,0,2,3,10,24,8,0,1,4,0,556
1,70,116,6,0,0,16,23,8,9,0,0,0,2,1,7,23,14,0,1,17,0,1270
1,80,60,3,0,0,4,16,7,4,0,0,0,0,0,1,10,4,0,0,0,0,658
1,73,90,2,0,0,8,15,7,4,0,0,0,2,0,3,18,1,0,1,3,0,1169
1,27,13,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,193
1,5,22,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99
1,26,7,4,0,0,4,8,2,0,1,1,0,1,1,5,6,1,0,1,3,0,448
1,11,18,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,2,0,113
1,2,128,0,0,0,0,7,0,0,0,0,0,0,0,1,4,1,0,0,0,0,479
1,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1,12,167,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570
2,131,12,4,0,0,3,1,7,2,0,0,0,0,1,0,10,1,0,0,3,0,526
2,86,18,2,0,0,3,2,2,0,0,0,0,0,1,1,9,2,0,1,4,0,420
2,92,62,54,1,0,39,62,84,2,4,2,0,0,9,11,17,9,0,6,20,0,1384
2,38,1,11,4,0,14,8,14,0,0,0,0,0,0,3,4,2,0,0,3,0,307
2,7,0,0,0,0,2,4,2,0,0,1,0,0,0,0,3,1,0,2,0,0,52
2,27,1,12,2,1,9,20,3,1,0,0,0,1,2,6,6,3,0,0,1,0,247
2,32,13,9,3,2,12,22,17,2,1,0,0,0,2,7,11,5,0,1,5,0,386
2,34,3,11,1,0,8,7,15,0,0,0,0,0,1,4,5,2,0,0,0,0,235
2,20,3,8,0,1,35,12,10,1,0,0,0,0,1,4,6,0,0,3,1,0,323
2,9,6,11,2,0,9,6,10,0,0,0,0,3,1,0,2,0,0,3,1,0,208
2,14,21,3,0,0,12,12,10,0,3,1,0,1,2,3,9,0,1,2,3,0,273
2,10,1,8,0,1,14,10,8,0,0,0,0,2,0,0,5,1,0,27,0,0,247
2,16,6,10,0,0,15,18,10,0,0,0,0,1,6,3,12,3,0,6,2,0,338
2,63,17,9,3,0,39,38,28,1,0,0,1,1,2,16,36,5,1,3,15,0,809
2,36,13,10,1,1,16,17,34,1,0,0,0,0,8,10,9,5,2,3,5,0,499
2,93,23,57,17,2,38,126,56,4,0,0,0,5,9,31,23,22,0,15,13,0,1334
2,40,89,21,4,1,40,26,21,1,1,1,0,0,5,19,35,16,0,19,6,0,1095
2,7,17,16,2,0,19,24,20,10,1,3,0,4,12,25,29,59,0,4,6,1,678
2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6
2,19,0,8,0,0,9,13,15,4,2,1,0,1,7,18,13,12,0,1,2,0,499
2,37,12,20,6,2,25,30,11,1,2,0,0,3,8,17,15,21,0,6,13,0,573
2,38,15,12,2,4,20,31,8,2,3,3,0,1,7,17,17,22,2,0,2,0,499
2,64,5,36,1,2,27,50,15,1,0,1,0,5,7,28,22,11,0,6,7,0,697
2,13,4,11,0,0,5,10,4,0,0,0,0,0,4,9,7,5,0,3,0,0,205
2,49,36,3,0,0,3,2,0,0,0,1,0,1,1,3,5,3,0,1,3,0,359
2,51,114,4,0,1,8,20,4,6,0,1,0,0,5,10,6,2,0,22,2,0,854
2,69,54,1,0,0,1,7,4,8,0,0,0,0,1,4,14,3,1,1,1,0,576
2,100,33,4,0,0,3,6,2,0,0,0,0,0,0,3,6,2,1,2,3,0,523
2,11,0,5,0,0,5,19,1,0,0,0,0,0,3,3,2,0,0,0,1,0,123
2,9,0,1,0,0,7,1,4,0,0,0,0,0,1,2,1,2,0,0,1,0,75
2,56,3,10,2,3,8,27,10,1,0,1,0,1,2,3,6,7,0,4,1,0,413
2,17,3,7,3,3,4,10,2,0,0,0,0,1,0,1,1,1,0,0,0,0,127
2,16,3,4,0,0,6,7,6,0,0,0,0,1,3,4,5,1,0,0,1,0,163
2,4,5,7,0,0,2,9,5,0,0,0,0,0,1,0,2,2,0,1,2,0,93
2,7,0,2,1,2,7,5,3,0,0,1,0,0,4,2,0,0,0,0,0,0,96
2,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17
2,28,35,22,3,2,27,43,19,3,1,6,0,0,11,25,16,8,1,6,2,0,692
2,9,21,5,4,0,31,22,6,1,0,2,0,0,4,10,10,4,0,2,1,0,474
2,11,4,5,0,0,4,10,6,1,0,1,0,0,1,5,6,0,0,1,0,0,319
2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,22
2,11,7,23,1,0,17,30,9,4,0,0,0,0,3,5,5,1,0,3,1,0,318
2,46,5,50,2,2,19,81,25,8,1,2,0,3,9,17,20,2,1,20,5,0,782
2,41,5,2,0,1,20,36,12,1,0,1,0,2,1,17,5,3,0,0,5,0,402
2,21,0,3,1,0,1,11,5,0,1,0,0,1,1,3,4,3,0,1,1,0,171
2,33,0,4,0,0,3,11,9,2,1,0,0,0,3,4,5,0,0,0,0,0,213
2,15,2,3,1,1,3,11,8,0,0,1,0,1,4,0,5,2,0,0,0,0,151
2,15,3,2,0,0,5,9,2,0,0,2,0,0,0,1,0,0,0,0,1,0,90
2,42,21,16,5,0,80,59,24,4,0,6,0,2,9,19,26,7,2,9,7,0,886
2,29,15,15,4,2,53,42,14,3,0,2,0,0,14,18,19,2,0,2,10,0,725
2,137,33,60,11,2,91,159,21,25,8,12,0,8,23,123,66,9,6,17,15,0,2064
2,40,31,29,10,2,70,72,15,18,3,9,0,3,24,35,23,5,1,19,0,0,999
2,47,36,37,10,1,100,73,17,11,4,18,0,4,29,43,33,4,0,33,9,0,1306
2,17,1,8,2,0,26,15,10,1,0,7,0,2,3,7,6,2,0,2,3,0,324
2,101,24,38,8,5,49,99,26,5,2,5,0,4,7,23,21,2,0,17,19,0,1355
2,2,0,2,0,0,5,6,5,1,0,1,0,0,2,4,1,1,0,0,3,0,187
2,13,22,4,3,1,13,16,11,10,1,4,0,0,2,9,18,4,0,2,2,0,358
2,67,3,1,2,0,41,25,15,0,1,1,0,0,2,9,6,3,0,3,14,0,480
2,40,11,18,1,0,27,20,11,3,1,3,0,0,10,11,7,2,0,3,1,0,472
2,77,15,24,2,1,18,27,19,0,1,2,0,2,5,8,8,3,0,3,6,0,619
2,71,7,16,1,2,32,26,11,0,3,0,0,0,1,8,11,4,0,5,4,0,603
2,56,3,11,0,0,25,7,3,0,0,0,0,0,0,2,6,0,0,1,3,0,301
2,45,0,2,1,0,16,7,3,1,0,1,0,0,1,0,0,1,0,5,1,0,261
2,40,3,19,0,0,24,13,6,1,2,0,0,2,1,11,4,0,1,1,5,0,336
2,11,3,10,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,91
2,15,2,10,0,0,5,2,2,0,0,0,0,2,0,3,2,3,0,1,1,0,145
2,67,33,9,3,8,16,30,20,12,2,0,0,0,13,23,26,6,1,14,1,0,994
2,68,61,8,0,1,7,19,3,2,0,0,0,0,2,3,4,0,0,1,6,0,544
2,45,13,3,0,0,9,20,8,3,0,0,0,0,2,2,8,3,0,3,1,0,351
2,4,9,0,0,0,5,2,2,0,0,0,0,0,1,1,2,0,0,2,1,0,70
2,34,3,9,0,0,1,8,4,5,0,0,0,0,1,8,0,2,1,0,0,0,244
2,14,1,1,0,0,5,3,0,0,0,0,0,0,1,2,0,1,0,0,1,0,83
2,26,1,1,0,0,5,5,8,3,1,0,0,3,2,4,3,0,0,1,0,0,181
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,29,0,0,0,0,0,3,11,0,0,0,0,1,0,0,5,0,0,0,0,0,128
2,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,21
2,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,28
2,74,35,17,1,0,18,46,20,5,0,1,0,1,4,12,12,3,1,13,5,0,763
2,13,56,9,1,0,20,83,13,12,0,0,0,3,7,11,16,5,0,2,15,0,641
2,50,189,14,3,0,54,97,32,12,2,0,0,3,16,16,34,13,1,9,8,0,1485
2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8
2,12,15,3,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,92
2,6,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25
2,22,11,3,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,85
2,8,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2,51,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64
2,11,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2,55,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,0,158
2,10,3,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,35
2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
2,6,11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73
2,34,19,2,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,170
2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2,13,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,59
2,14,9,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,57
2,11,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49
2,4,3,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30
2,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,63
2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2,24,17,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,135
2,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,35
2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48
2,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,113
2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18
2,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,106
2,11,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
2,14,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2,9,34,0,0,0,1,3,0,0,0,0,0,0,0,0,5,0,0,1,0,0,137
2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,23,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,119
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34
2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19
2,4,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,25
2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19
2,48,55,2,0,0,1,22,0,0,0,0,0,0,2,2,8,0,0,0,1,0,357
2,14,8,0,0,0,0,1,2,0,0,0,0,0,1,0,2,1,0,0,0,0,61
2,9,10,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,53
2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22
2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16
2,8,9,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,58
2,8,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,38
2,20,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,67
2,18,7,1,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,101
2,50,34,6,0,0,0,3,3,0,0,0,0,0,0,0,2,1,0,0,1,0,275
2,96,102,22,0,0,2,5,4,0,0,0,0,0,0,0,13,0,0,0,3,0,704
2,148,50,47,0,0,2,23,2,0,0,0,0,1,0,0,15,3,0,5,0,0,746
2,16,11,5,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,1,0,107
2,10,15,4,0,0,1,3,0,1,0,0,0,0,0,0,2,0,1,0,0,0,105
2,26,45,35,0,0,4,9,1,2,0,0,0,0,1,4,11,3,0,4,4,0,464
2,70,49,3,0,0,6,7,0,0,0,0,0,0,1,0,12,2,0,1,6,0,504
2,42,6,1,0,0,0,1,1,0,0,0,0,0,1,2,0,2,0,0,0,0,189
2,87,48,4,0,0,2,4,4,0,0,0,0,0,2,1,9,2,1,0,0,0,649
2,112,82,4,0,0,0,1,2,2,0,0,0,0,1,2,10,1,0,0,0,0,729
2,87,67,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,517
2,339,135,7,0,0,10,14,11,4,0,1,0,0,3,2,23,4,0,4,2,0,1807
3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16
3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
3,1,6,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25
3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
3,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,24
3,13,7,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,25
3,19,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62
3,39,5,8,0,0,5,4,1,0,0,0,0,1,2,1,7,2,14,2,0,0,277
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,19
3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
3,6,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,36
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3,18,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7,1,0,0,1,0,91
